A    aa
ENGAP-ENGAP    ## ng aa p ## ng aa p
ENGAS    ## ng aa s
ENGGAK    ## ng g aa k
ENGGAN    ## ng g aa n
ENGGANG    ## ng g aa ng
ENGGET    ## ng g ## t
ENGGIL    ## ng g ih l
ENGGOK    ## ng g ao k
ENGKAH    ## ng k aa hh
ENGKAK    ## ng k aa k
ENGKANG    ## ng k aa ng
ENGKAU    ## ng k ##
ENGKET-ENGKET    ## ng k ## t ## ng k ## t
ENGKOH    ## ng k ao hh
ENGKOL    ## ng k ao l
ENGKONG    ## ng k ao ng
ENGKU    ## ng k uw
ENGKUK    ## ng k uw k
ENGSEL    ## ng s ## l
ENIGMA    ## n ih g m aa
ENJAK    ## n jh aa k
ENJAL    ## n jh aa l
ENJAMBEMEN    ## n jh aa m b ## m ## n
ENJELAI    ## n jh ## l ##
ENJIN    ## n jh ih n
ENJUT    ## n jh uw t
ENKAPSULASI    ## n k aa p s uw l aa s ih
ENKLAVE    ## n k l aa f ##
ENKLITIK    ## n k l ih t ih k
ENKODE    ## n k ao d ##
ENKRIPSI    ## n k r ih p s ih
ENKULTURASI    ## n k uw l t uw r aa s ih
ENOLOGI    ## n ao l ao g ih
ENOM    ## n ao m
ENSAMBEL    ## n s aa m b ## l
ENSEFALITIS    ## n s ## f aa l ih t ih s
ENSEFALITOGEN    ## n s ## f aa l ih t ao g ## n
ENSEFALOGRAF    ## n s ## f aa l ao g r aa f
ENSEFALOGRAFI    ## n s ## f aa l ao g r aa f ih
ENSEFALOGRAM    ## n s ## f aa l ao g r aa m
ENSEFALOMIELITIS    ## n s ## f aa l ao m ih ## l ih t ih s
ENSEFALON    ## n s ## f aa l ao n
ENSIFORM    ## n s ih f ao r m
ENSIKLIK    ## n s ih k l ih k
ENSIKLOPEDIA    ## n s ih k l ao p ## d ih aa
ENSIKLOPEDIS    ## n s ih k l ao p ## d ih s
ENSOPOR    ## n s ao p ao r
ENTAH    ## n t aa hh
ENTAK    ## n t aa k
ENTALPI    ## n t aa l p ih
ENTAR    ## n t aa r
ENTAS    ## n t aa s
ENTE    ## n t ##
ENTEN    ## n t ## n
ENTENG    ## n t ## ng
ENTENTE    ## n t ## n t ##
ENTERITIS    ## n t ## r ih t ih s
ENTEROGRAF    ## n t ## r ao g r aa f
ENTEROLOGI    ## n t ## r ao l ao g ih
ENTERON    ## n t ## r ao n
ENTEROPATI    ## n t ## r ao p aa t ih
ENTEROSEL    ## n t ## r ao s ## l
ENTEROSTOMI    ## n t ## r ao s t ao m ih
ENTEROTOKSIN    ## n t ## r ao t ao k s ih n
ENTEROVIRUS    ## n t ## r ao f ih r uw s
ENTIT    ## n t ih t
ENTITAS    ## n t ih t aa s
ENTODERM    ## n t ao d ## r m
ENTOGENUS    ## n t ao g ## n uw s
ENTOK    ## n t ao k
ENTOMOFILI    ## n t ao m ao f ih l ih
ENTOMOLOG    ## n t ao m ao l ao g
ENTOMOLOGI    ## n t ao m ao l ao g ih
ENTONG    ## n t ao ng
ENTOT    ## n t ao t
ENTOZOA    ## n t ao z ao aa
ENTOZOIK    ## n t ao z ## k
ENTRE    ## n t r ##
ENTREPOT    ## n t r ## p ao t
ENTRI    ## n t r ih
ENTROPI    ## n t r ao p ih
ENUKLEASI    ## n uw k l ## aa s ih
ENUMERASI    ## n uw m ## r aa s ih
ENURESIS    ## n uw r ## s ih s
ENVOI    ## n f ##
ENYAH    ## ny aa hh
ENYAK    ## ny aa k
ENZIM    ## n z ih m
ENZIMOLISIS    ## n z ih m ao l ih s ih s
ENZIMOLOGI    ## n z ih m ao l ao g ih
ENZOOTIK    ## n z ao ao t ih k
EOLIT    ## ao l ih t
EON    ## ao n
EOSEN    ## ao s ## n
EOSIN    ## ao s ih n
EOZOIKUM    ## ao z ## k uw m
EPAK    ## p aa k
EPEK    ## p ## k
EPENTESIS    ## p ## n t ## s ih s
EPI-    ## p ih
EPIBENTOS    ## p ih b ## n t ao s
EPIDEMI    ## p ih d ## m ih
EPIDEMIOLOGI    ## p ih d ## m ih ao l ao g ih
EPIDERMIS    ## p ih d ## r m ih s
EPIDIASKOP    ## p ih d ih aa s k ao p
EPIFARING    ## p ih f aa r ih ng
EPIFIL    ## p ih f ih l
EPIFIOTIK    ## p ih f ih ao t ih k
EPIFISIS    ## p ih f ih s ih s
EPIFIT    ## p ih f ih t
EPIFITON    ## p ih f ih t ao n
EPIFORA    ## p ih f ao r aa
EPIGASTRIUM    ## p ih g aa s t r ih uw m
EPIGENESIS    ## p ih g ## n ## s ih s
EPIGLOTIS    ## p ih g l ao t ih s
EPIGON    ## p ih g ao n
EPIGRAF    ## p ih g r aa f
EPIGRAFI    ## p ih g r aa f ih
EPIGRAM    ## p ih g r aa m
EPIK    ## p ih k
EPIKOTIL    ## p ih k ao t ih l
EPIKURIS    ## p ih k uw r ih s
EPILEPSI    ## p ih l ## p s ih
EPILEPTIK    ## p ih l ## p t ih k
EPILOG    ## p ih l ao g
EPIMISIUM    ## p ih m ih s ih uw m
EPINASTI    ## p ih n aa s t ih
EPINEFRINA    ## p ih n ## f r ih n aa
EPINURIM    ## p ih n uw r ih m
EPISENTRUM    ## p ih s ## n t r uw m
EPISIKLIK    ## p ih s ih k l ih k
EPISIOTOMI    ## p ih s ih ao t ao m ih
EPISKOPAL    ## p ih s k ao p aa l
EPISKOPAT    ## p ih s k ao p aa t
EPISODE    ## p ih s ao d ##
EPISODIK    ## p ih s ao d ih k
EPISPORA    ## p ih s p ao r aa
EPISTAKSIS    ## p ih s t aa k s ih s
EPISTEL    ## p ih s t ## l
EPISTEMOLOGI    ## p ih s t ## m ao l ao g ih
EPISTOLA    ## p ih s t ao l aa
EPITAF    ## p ih t aa f
EPITAKSI    ## p ih t aa k s ih
EPITEL    ## p ih t ## l
EPITELIOMA    ## p ih t ## l ih ao m aa
EPITERMAL    ## p ih t ## r m aa l
EPITET    ## p ih t ## t
EPIZOIK    ## p ih z ## k
EPIZOOTIK    ## p ih z ao ao t ih k
EPOK    ## p ao k
EPOKSI    ## p ao k s ih
EPOLET    ## p ao l ## t
EPONIM    ## p ao n ih m
EPOS    ## p ao s
EPSILON    ## p s ih l ao n
ER    ## r
ERA    ## r aa
ERADIKASI    ## r aa d ih k aa s ih
ERADIKSI    ## r aa d ih k s ih
ERAK    ## r aa k
ERAM    ## r aa m
ERANG    ## r aa ng
ERAT    ## r aa t
ERATA    ## r aa t aa
ERBIS    ## r b ih s
ERBIUM    ## r b ih uw m
ERCIS    ## r ch ih s
EREH    ## r ## hh
EREK-EREK    ## r ## k ## r ## k
EREKSI    ## r ## k s ih
EREKTOR    ## r ## k t ao r
ERENG    ## r ## ng
EREPSIN    ## r ## p s ih n
ERET    ## r ## t
ERG    ## r g
ERGASIOFIT    ## r g aa s ih ao f ih t
ERGONOMI    ## r g ao n ao m ih
ERGONOMIKA    ## r g ao n ao m ih k aa
ERGONOMIS    ## r g ao n ao m ih s
ERGOSTEROL    ## r g ao s t ## r ao l
ERGOT    ## r g ao t
ERGOTERAPI    ## r g ao t ## r aa p ih
ERIK    ## r ih k
ERING    ## r ih ng
ERISIPELAS    ## r ih s ih p ## l aa s
ERITEMA    ## r ih t ## m aa
ERITROBLAS    ## r ih t r ao b l aa s
ERITROSIT    ## r ih t r ao s ih t
ERONG    ## r ao ng
EROR    ## r ao r
EROSENTRISME    ## r ao s ## n t r ih s m ##
EROSI    ## r ao s ih
EROT    ## r ao t
EROTIK    ## r ao t ih k
EROTIKA    ## r ao t ih k aa
EROTIS    ## r ao t ih s
EROTISISME    ## r ao t ih s ih s m ##
EROTISME    ## r ao t ih s m ##
ERPAH    ## r p aa hh
ERPAK    ## r p aa k
ERTI    ## r t ih
ERU    ## r uw
ERUPSI    ## r uw p s ih
ES    ## s
ESA    ## s aa
ESAI    ## s ##
ESAIS    ## s ## s
ESAK    ## s aa k
ESEK    ## s ## k
ESELON    ## s ## l ao n
ESEMBLING    ## s ## m b l ih ng
ESENS    ## s ## n s
ESENSI    ## s ## n s ih
ESENSIAL    ## s ## n s ih aa l
ESENSIALITAS    ## s ## n s ih aa l ih t aa s
ESKADER    ## s k aa d ## r
ESKADRON    ## s k aa d r ao n
ESKALASI    ## s k aa l aa s ih
ESKALATOR    ## s k aa l aa t ao r
ESKAPISME    ## s k aa p ih s m ##
ESKAS    ## s k aa s
ESKATOLOGI    ## s k aa t ao l ao g ih
ESKATOLOGIS    ## s k aa t ao l ao g ih s
ESOFAGUS    ## s ao f aa g uw s
ESOK    ## s ao k
ESOT    ## s ao t
ESOTERIS    ## s ao t ## r ih s
ESTAFET    ## s t aa f ## t
ESTER    ## s t ## r
ESTESIA    ## s t ## s ih aa
ESTETIK    ## s t ## t ih k
ESTETIKA    ## s t ## t ih k aa
ESTETIKUS    ## s t ## t ih k uw s
ESTETIS    ## s t ## t ih s
ESTIMASI    ## s t ih m aa s ih
ESTRIOL    ## s t r ih ao l
ESTROGEN    ## s t r ao g ## n
ESTRON    ## s t r ao n
ESTRUS    ## s t r uw s
ESTUARI    ## s t uw aa r ih
ESTUARIN    ## s t uw aa r ih n
ETA    ## t aa
ETALASE    ## t aa l aa s ##
ETANA    ## t aa n aa
ETANOL    ## t aa n ao l
ETAPE    ## t aa p ##
ETATISME    ## t aa t ih s m ##
ETEK    ## t ## k
ETER    ## t ## r
ETERIS    ## t ## r ih s
ETERNIT    ## t ## r n ih t
ETIK    ## t ih k
ETIKA    ## t ih k aa
ETIKET    ## t ih k ## t
ETIL    ## t ih l
ETILENA    ## t ih l ## n aa
ETIMOLOGI    ## t ih m ao l ao g ih
ETIMOLOGIS    ## t ih m ao l ao g ih s
ETIMON    ## t ih m ao n
ETIOLIN    ## t ih ao l ih n
ETIOLOGI    ## t ih ao l ao g ih
ETIS    ## t ih s
ETMOID    ## t m ## d
ETNIK    ## t n ih k
ETNIS    ## t n ih s
ETNOBOTANI    ## t n ao b ao t aa n ih
ETNOGRAF    ## t n ao g r aa f
ETNOGRAFI    ## t n ao g r aa f ih
ETNOGRAFIS    ## t n ao g r aa f ih s
ETNOLINGUISTIK    ## t n ao l ih ng uw ih s t ih k
ETNOLOG    ## t n ao l ao g
ETNOLOGI    ## t n ao l ao g ih
ETNOLOGIS    ## t n ao l ao g ih s
ETNOMUSIKOLOG    ## t n ao m uw s ih k ao l ao g
ETNOMUSIKOLOGI    ## t n ao m uw s ih k ao l ao g ih
ETNOPOLITIK    ## t n ao p ao l ih t ih k
ETNOSENTRISME    ## t n ao s ## n t r ih s m ##
ETOLOGI    ## t ao l ao g ih
ETOS    ## t ao s
ETSA    ## t s aa
EUDAEMONISME    ## uw d aa ## m ao n ih s m ##
EUFEMISME    ## uw f ## m ih s m ##
EUFEMISTIS    ## uw f ## m ih s t ih s
EUFONI    ## uw f ao n ih
EUFONIUM    ## uw f ao n ih uw m
EUFORIA    ## uw f ao r ih aa
EUFORIAN    ## uw f ao r ih aa n
EUGENETIKA    ## uw g ## n ## t ih k aa
EUGENIKA    ## uw g ## n ih k aa
EUGENOL    ## uw g ## n ao l
EUKALIPTOL    ## uw k aa l ih p t ao l
EUKALIPTUS    ## uw k aa l ih p t uw s
EUKARION    ## uw k aa r ih ao n
EUKARIOTA    ## uw k aa r ih ao t aa
EULOGI    ## uw l ao g ih
EUPLOID    ## uw p l ## d
EURASIA    ## uw r aa s ih aa
EURIHALIN    ## uw r ih hh aa l ih n
EUROPIUM    ## uw r ao p ih uw m
EUROSENTRIS    ## uw r ao s ## n t r ih s
EUSEKSUAL    ## uw s ## k s uw aa l
EUSINANTROPUS    ## uw s ih n aa n t r ao p uw s
EUTANASIA    ## uw t aa n aa s ih aa
EUTEKTIK    ## uw t ## k t ih k
EUTENIKA    ## uw t ## n ih k aa
EUTROFIKASI    ## uw t r ao f ih k aa s ih
EVAKUASI    ## f aa k uw aa s ih
EVALUASI    ## f aa l uw aa s ih
EVALUATIF    ## f aa l uw aa t ih f
EVANGELI    ## f aa ng ## l ih
EVANGELIS    ## f aa ng ## l ih s
EVAPORASI    ## f aa p ao r aa s ih
EVAPORATOR    ## f aa p ao r aa t ao r
EVAPORIMETER    ## f aa p ao r ih m ## t ## r
EVAPOTRANSPIRASI    ## f aa p ao t r aa n s p ih r aa s ih
EVERSI    ## f ## r s ih
EVIDEN    ## f ih d ## n
EVISERASI    ## f ih s ## r aa s ih
EVOKASI    ## f ao k aa s ih
EVOKATIF    ## f ao k aa t ih f
EVOLUSI    ## f ao l uw s ih
EVOLUSIONER    ## f ao l uw s ih ao n ## r
EVOLUSIONISME    ## f ao l uw s ih ao n ih s m ##
EWA    ## w aa
EYANG    ## y aa ng
EYEL    ## y ## l
F    f
FA    f aa
FAAL    f aa aa l
FAALI    f aa aa l ih
FABEL    f aa b ## l
FABULA    f aa b uw l aa
FADEN    f aa d ## n
FADIHAT    f aa d ih hh aa t
FADIL    f aa d ih l
FADILAT    f aa d ih l aa t
FAEDAH    f aa ## d aa hh
FAFA    f aa f aa
FAGOSIT    f aa g ao s ih t
FAGOSITOSIS    f aa g ao s ih t ao s ih s
FAGOT    f aa g ao t
FAHOMBE    f aa hh ao m b ##
FAHRENHEIT    f aa hh r ## n hh ## t
FAHSYA    f aa hh sh aa
FAIL    f ## l
FAJAR    f aa jh aa r
FAKIH    f aa k ih hh
FAKIR    f aa k ih r
FAKS    f aa k s
FAKSI    f aa k s ih
FAKSIMILE    f aa k s ih m ih l ##
FAKTA    f aa k t aa
FAKTIF    f aa k t ih f
FAKTITIUS    f aa k t ih t ih uw s
FAKTOR    f aa k t ao r
FAKTUAL    f aa k t uw aa l
FAKTUR    f aa k t uw r
FAKULTAS    f aa k uw l t aa s
FAKULTATIF    f aa k uw l t aa t ih f
FALAH    f aa l aa hh
FALAJ    f aa l aa jh
FALAK    f aa l aa k
FALAKIAH    f aa l aa k ih aa hh
FALSAFAH    f aa l s aa f aa hh
FALSAFI    f aa l s aa f ih
FAM    f aa m
FAMILI    f aa m ih l ih
FAMILIA    f aa m ih l ih aa
FAMILIER    f aa m ih l ih ## r
FAMILIISME    f aa m ih l ih ih s m ##
FAMILISME    f aa m ih l ih s m ##
FANA    f aa n aa
FANATIK    f aa n aa t ih k
FANATISME    f aa n aa t ih s m ##
FANFARE    f aa n f aa r ##
FANI    f aa n ih
FANTASI    f aa n t aa s ih
FANTASTIS    f aa n t aa s t ih s
FANTOM    f aa n t ao m
FARAD    f aa r aa d
FARAID    f aa r ## d
FARAJ    f aa r aa jh
FARAK    f aa r aa k
FARDU    f aa r d uw
FARIK    f aa r ih k
FARING    f aa r ih ng
FARINGAL    f aa r ih ng aa l
FARINGALISASI    f aa r ih ng aa l ih s aa s ih
FARINGITIS    f aa r ih ng ih t ih s
FARISI    f aa r ih s ih
FARJI    f aa r jh ih
FARMAKODINAMIKA    f aa r m aa k ao d ih n aa m ih k aa
FARMAKOKINETIKA    f aa r m aa k ao k ih n ## t ih k aa
FARMAKOLOG    f aa r m aa k ao l ao g
FARMAKOLOGI    f aa r m aa k ao l ao g ih
FARMAKOLOGIS    f aa r m aa k ao l ao g ih s
FARMAKOPE    f aa r m aa k ao p ##
FARMAKOSEUTIKA    f aa r m aa k ao s ## uw t ih k aa
FARMASI    f aa r m aa s ih
FARSAKH    f aa r s aa hh
FASAD    f aa s aa d
FASAKH    f aa s aa hh
FASE    f aa s ##
FASET    f aa s ## t
FASIA    f aa s ih aa
FASID    f aa s ih d
FASIH    f aa s ih hh
FASIHAT    f aa s ih hh aa t
FASIK    f aa s ih k
FASILITAS    f aa s ih l ih t aa s
FASILITATOR    f aa s ih l ih t aa t ao r
FASIS    f aa s ih s
FASISME    f aa s ih s m ##
FASTABIKHULKHAIRAT    f aa s t aa b ih hh uw l hh ## r aa t
FATAH    f aa t aa hh
FATAL    f aa t aa l
FATALA    f aa t aa l aa
FATALIS    f aa t aa l ih s
FATALISME    f aa t aa l ih s m ##
FATALITAS    f aa t aa l ih t aa s
FATAMORGANA    f aa t aa m ao r g aa n aa
FATANAH    f aa t aa n aa hh
FATIHAH    f aa t ih hh aa hh
FATIMAH    f aa t ih m aa hh
FATIR    f aa t ih r
FATOM    f aa t ao m
FATOMETER    f aa t ao m ## t ## r
FATRI    f aa t r ih
FATSUN    f aa t s uw n
FATUR    f aa t uw r
FATWA    f aa t w aa
FAUNA    f ## n aa
FAUNISTIK    f ## n ih s t ih k
FAVORIT    f aa f ao r ih t
FAVORITISME    f aa f ao r ih t ih s m ##
FEBRIN    f ## b r ih n
FEBRUARI    f ## b r uw aa r ih
FEDERAL    f ## d ## r aa l
FEDERALIS    f ## d ## r aa l ih s
FEDERALISME    f ## d ## r aa l ih s m ##
FEDERALISTIS    f ## d ## r aa l ih s t ih s
FEDERASI    f ## d ## r aa s ih
FEKO    f ## k ao
FEKUNDASI    f ## k uw n d aa s ih
FEKUNDITAS    f ## k uw n d ih t aa s
FELON    f ## l ao n
FELSPAR    f ## l s p aa r
FEMININ    f ## m ih n ih n
FEMINISME    f ## m ih n ih s m ##
FEMTO-    f ## m t ao
FENAKIT    f ## n aa k ih t
FENGSUI    f ## ng s uw ih
FENIT    f ## n ih t
FENOL    f ## n ao l
FENOLOGI    f ## n ao l ao g ih
FENOMENA    f ## n ao m ## n aa
FENOMENAL    f ## n ao m ## n aa l
FENOMENALISME    f ## n ao m ## n aa l ih s m ##
FENOMENOLOGI    f ## n ao m ## n ao l ao g ih
FENOSIS    f ## n ao s ih s
FENOTIPE    f ## n ao t ih p ##
FEODAL    f ## ao d aa l
FEODALISME    f ## ao d aa l ih s m ##
FEODALISTIS    f ## ao d aa l ih s t ih s
FERAL    f ## r aa l
FERI    f ## r ih
FERITIN    f ## r ih t ih n
FERMEN    f ## r m ## n
FERMENTASI    f ## r m ## n t aa s ih
FERMION    f ## r m ih ao n
FERMIUM    f ## r m ih uw m
FEROMAGNETIK    f ## r ao m aa g n ## t ih k
FEROMAGNETISME    f ## r ao m aa g n ## t ih s m ##
FEROMON    f ## r ao m ao n
FERONIKEL    f ## r ao n ih k ## l
FERTIL    f ## r t ih l
FERTILASI    f ## r t ih l aa s ih
FERTILISASI    f ## r t ih l ih s aa s ih
FERTILITAS    f ## r t ih l ih t aa s
FERTILIZIN    f ## r t ih l ih z ih n
FERUM    f ## r uw m
FESES    f ## s ## s
FESTIVAL    f ## s t ih f aa l
FETIS    f ## t ih s
FETOR    f ## t ao r
FETUS    f ## t uw s
FI    f ih
FIASKO    f ih aa s k ao
FIAT    f ih aa t
FIBER    f ih b ## r
FIBRASI    f ih b r aa s ih
FIBRIBLAS    f ih b r ih b l aa s
FIBRIL    f ih b r ih l
FIBRILASI    f ih b r ih l aa s ih
FIBRIN    f ih b r ih n
FIBRINOGEN    f ih b r ih n ao g ## n
FIBROKISTIK    f ih b r ao k ih s t ih k
FIDAH    f ih d aa hh
FIDER    f ih d ## r
FIDIAH    f ih d ih aa hh
FIDUSIA    f ih d uw s ih aa
FIDYAH    f ih d y aa hh
FIGUR    f ih g uw r
FIGURAN    f ih g uw r aa n
FIGURATIF    f ih g uw r aa t ih f
FIIL    f ih ih l
FIKIH    f ih k ih hh
FIKLI    f ih k l ih
FIKOLOGI    f ih k ao l ao g ih
FIKRAH    f ih k r aa hh
FIKSASI    f ih k s aa s ih
FIKSI    f ih k s ih
FIKTIF    f ih k t ih f
FIKUS    f ih k uw s
FILAMEN    f ih l aa m ## n
FILANTROP    f ih l aa n t r ao p
FILANTROPI    f ih l aa n t r ao p ih
FILANTROPIS    f ih l aa n t r ao p ih s
FILARIA    f ih l aa r ih aa
FILARIASIS    f ih l aa r ih aa s ih s
FILATELI    f ih l aa t ## l ih
FILATELIK    f ih l aa t ## l ih k
FILATELIS    f ih l aa t ## l ih s
FILHARMONI    f ih l hh aa r m ao n ih
FILIAL    f ih l ih aa l
FILIBUSTER    f ih l ih b uw s t ## r
FILM    f ih l m
FILMIS    f ih l m ih s
FILO    f ih l ao
FILODENDRON    f ih l ao d ## n d r ao n
FILOGENESIS    f ih l ao g ## n ## s ih s
FILOGENI    f ih l ao g ## n ih
FILOLOG    f ih l ao l ao g
FILOLOGI    f ih l ao l ao g ih
FILOLOGIS    f ih l ao l ao g ih s
FILOPUR    f ih l ao p uw r
FILOSOF    f ih l ao s ao f
FILOSOFI    f ih l ao s ao f ih
FILOSOFIS    f ih l ao s ao f ih s
FILSAFAT    f ih l s aa f aa t
FILSUF    f ih l s uw f
FILTER    f ih l t ## r
FILTRASI    f ih l t r aa s ih
FILTRAT    f ih l t r aa t
FILUM    f ih l uw m
FIMBRIA    f ih m b r ih aa
FINAL    f ih n aa l
FINANSIAL    f ih n aa n s ih aa l
FINIR    f ih n ih r
FINIS    f ih n ih s
FIOLAKS    f ih ao l aa k s
FIRAJULLAH    f ih r aa jh uw l l aa hh
FIRASAT    f ih r aa s aa t
FIRAUNIAH    f ih r ## n ih aa hh
FIRDAUS    f ih r d ## s
FIRDAUSI    f ih r d ## s ih
FIRJATULLAH    f ih r jh aa t uw l l aa hh
FIRKAH    f ih r k aa hh
FIRMA    f ih r m aa
FIRMAN    f ih r m aa n
FIRN    f ih r n
FISI    f ih s ih
FISIBEL    f ih s ih b ## l
FISIBILITAS    f ih s ih b ih l ih t aa s
FISIK    f ih s ih k
FISIKA    f ih s ih k aa
FISIKAWAN    f ih s ih k aa w aa n
FISIOGNOMI    f ih s ih ao g n ao m ih
FISIOGNOMIS    f ih s ih ao g n ao m ih s
FISIOLOGI    f ih s ih ao l ao g ih
FISIOLOGIS    f ih s ih ao l ao g ih s
FISIOTERAPI    f ih s ih ao t ## r aa p ih
FISIS    f ih s ih s
FISKAL    f ih s k aa l
FIT    f ih t
FITING    f ih t ih ng
FITNAH    f ih t n aa hh
FITOFAG    f ih t ao f aa g
FITOFOGUS    f ih t ao f ao g uw s
FITOGENI    f ih t ao g ## n ih
FITOGEOGRAFI    f ih t ao g ## ao g r aa f ih
FITOKIMIA    f ih t ao k ih m ih aa
FITOLOGI    f ih t ao l ao g ih
FITOMETER    f ih t ao m ## t ## r
FITON    f ih t ao n
FITOPATOLOGI    f ih t ao p aa t ao l ao g ih
FITOSANITASI    f ih t ao s aa n ih t aa s ih
FITOSOSIOLOGI    f ih t ao s ao s ih ao l ao g ih
FITOSTEROL    f ih t ao s t ## r ao l
FITOSTROT    f ih t ao s t r ao t
FITOTOKSIN    f ih t ao t ao k s ih n
FITOTOKSOID    f ih t ao t ao k s ## d
FITOTOPOGRAFI    f ih t ao t ao p ao g r aa f ih
FITOTRON    f ih t ao t r ao n
FITRAH    f ih t r aa hh
FITRI    f ih t r ih
FLAKON    f l aa k ao n
FLAMBOYAN    f l aa m b ao y aa n
FLAMINGO    f l aa m ih ng ao
FLANEL    f l aa n ## l
FLAT    f l aa t
FLEGMA    f l ## g m aa
FLEGMATIS    f l ## g m aa t ih s
FLEKSI    f l ## k s ih
FLEKSIBEL    f l ## k s ih b ## l
FLEKSIBILITAS    f l ## k s ih b ih l ih t aa s
FLEKSOR    f l ## k s ao r
FLENSA    f l ## n s aa
FLIP-PLOP    f l ih p p l ao p
FLIS    f l ih s
FLOEM    f l ao ## m
FLOP    f l ao p
FLORA    f l ao r aa
FLORET    f l ao r ## t
FLOTASI    f l ao t aa s ih
FLOTET    f l ao t ## t
FLU    f l uw
FLUENSI    f l uw ## n s ih
FLUIDA    f l uw ih d aa
FLUKS    f l uw k s
FLUKTUASI    f l uw k t uw aa s ih
FLUKTUATIF    f l uw k t uw aa t ih f
FLUOR    f l uw ao r
FLUORESEN    f l uw ao r ## s ## n
FLUORESENS    f l uw ao r ## s ## n s
FLUORIN    f l uw ao r ih n
FLUORIT    f l uw ao r ih t
FOBIA    f ao b ih aa
FOKIMETER    f ao k ih m ## t ## r
FOKSTROT    f ao k s t r ao t
FOKUS    f ao k uw s
FOLDER    f ao l d ## r
FOLI    f ao l ih
FOLIKEL    f ao l ih k ## l
FOLIO    f ao l ih ao
FOLKLOR    f ao l k l ao r
FOLKSONG    f ao l k s ao ng
FON    f ao n
FONASI    f ao n aa s ih
FONDAMEN    f ao n d aa m ## n
FONDASI    f ao n d aa s ih
FONDS    f ao n d s
FONEM    f ao n ## m
FONEMIK    f ao n ## m ih k
FONEMIS    f ao n ## m ih s
FONETIK    f ao n ## t ih k
FONETIS    f ao n ## t ih s
FONIK    f ao n ih k
FONIS    f ao n ih s
FONOGRAF    f ao n ao g r aa f
FONOGRAFI    f ao n ao g r aa f ih
FONOLOGI    f ao n ao l ao g ih
FONOLOGIS    f ao n ao l ao g ih s
FONON    f ao n ao n
FONOTAKTIK    f ao n ao t aa k t ih k
FONOTIPI    f ao n ao t ih p ih
FORAMEN    f ao r aa m ## n
FORAMINIFERA    f ao r aa m ih n ih f ## r aa
FORENSIK    f ao r ## n s ih k
FORKLIF    f ao r k l ih f
FORMA    f ao r m aa
FORMAL    f ao r m aa l
FORMALIN    f ao r m aa l ih n
FORMALISTIS    f ao r m aa l ih s t ih s
FORMALITAS    f ao r m aa l ih t aa s
FORMAN    f ao r m aa n
FORMASI    f ao r m aa s ih
FORMAT    f ao r m aa t
FORMATIF    f ao r m aa t ih f
FORMATIR    f ao r m aa t ih r
FORMATUR    f ao r m aa t uw r
FORMIKA    f ao r m ih k aa
FORMULA    f ao r m uw l aa
FORMULASI    f ao r m uw l aa s ih
FORMULATOR    f ao r m uw l aa t ao r
FORMULIR    f ao r m uw l ih r
FORNIFIKASI    f ao r n ih f ih k aa s ih
FORNIKASI    f ao r n ih k aa s ih
FORSEP    f ao r s ## p
FORSIR    f ao r s ih r
FORSIT    f ao r s ih t
FORTE    f ao r t ##
FORTIFIKASI    f ao r t ih f ih k aa s ih
FORTIN    f ao r t ih n
FORUM    f ao r uw m
FOSFAT    f ao s f aa t
FOSFINA    f ao s f ih n aa
FOSFIT    f ao s f ih t
FOSFOR    f ao s f ao r
FOSFORESENS    f ao s f ao r ## s ## n s
FOSFORILASE    f ao s f ao r ih l aa s ##
FOSFORUS    f ao s f ao r uw s
FOSGEN    f ao s g ## n
FOSIL    f ao s ih l
FOTO    f ao t ao
FOTODIODE    f ao t ao d ih ao d ##
FOTOELEKTRON    f ao t ao ## l ## k t r ao n
FOTOEMISI    f ao t ao ## m ih s ih
FOTOGENIK    f ao t ao g ## n ih k
FOTOGRAF    f ao t ao g r aa f
FOTOGRAFER    f ao t ao g r aa f ## r
FOTOGRAFI    f ao t ao g r aa f ih
FOTOGRAFIS    f ao t ao g r aa f ih s
FOTOGRAVER    f ao t ao g r aa f ## r
FOTOGRAVUR    f ao t ao g r aa f uw r
FOTOKIMIA    f ao t ao k ih m ih aa
FOTOKONDUKSI    f ao t ao k ao n d uw k s ih
FOTOKONDUKTIVITAS    f ao t ao k ao n d uw k t ih f ih t aa s
FOTOKONDUKTOR    f ao t ao k ao n d uw k t ao r
FOTOKOPI    f ao t ao k ao p ih
FOTOKROMI    f ao t ao k r ao m ih
FOTOKROMIK    f ao t ao k r ao m ih k
FOTOLISIS    f ao t ao l ih s ih s
FOTOLITOGRAFI    f ao t ao l ih t ao g r aa f ih
FOTOMETER    f ao t ao m ## t ## r
FOTOMETRI    f ao t ao m ## t r ih
FOTOMIKROGRAFI    f ao t ao m ih k r ao g r aa f ih
FOTOMODEL    f ao t ao m ao d ## l
FOTON    f ao t ao n
FOTOPERIODISME    f ao t ao p ## r ih ao d ih s m ##
FOTOSEL    f ao t ao s ## l
FOTOSFER    f ao t ao s f ## r
FOTOSINTESIS    f ao t ao s ih n t ## s ih s
FOTOSTAT    f ao t ao s t aa t
FOTOTAKSIS    f ao t ao t aa k s ih s
FOTOTROPIS    f ao t ao t r ao p ih s
FOTOTUSTEL    f ao t ao t uw s t ## l
FOVEA    f ao f ## aa
FOYA    f ao y aa
FRAGMEN    f r aa g m ## n
